image,illumination,geometry,glossiness,refsharp,contgloss,metallicness,lightness,anisotropy
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m081_fabric118].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m082_fabric119].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m083_fabric120].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m084_fabric121].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m085_fabric122].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m087_fabric124].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m089_fabric126].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m090_fabric128].jpg,4,1,1,2,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m091_fabric129].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m092_fabric130].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m093_fabric131].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m094_fabric132].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m095_fabric134].jpg,4,1,1,1,1,1,1,4
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m096_fabric135].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m097_fabric136].jpg,4,1,1,1,1,1,1,5
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m098_fabric137].jpg,4,1,1,1,1,1,1,2.5
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m099_fabric139].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m100_fabric140].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m101_fabric143].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m104_fabric146].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m105_glitter01].jpg,4,1,2,1,1,3,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m106_leather01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m107_leather02].jpg,4,1,2,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m110_leather05].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m113_leather08].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m114_leather09].jpg,4,1,2,2,1,4,3,4
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m115_leather10].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m116_leather11].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m117_leather12].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m118_leather13].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m119_leather14].jpg,4,1,1,1,1,1,1.5,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m120_leather15].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m121_leather16].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m122_paper01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m126_plastic01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m127_plastic02].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m128_plastic04].jpg,4,1,2,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m129_plastic05].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m131_plastic_tape01].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m133_wallpaper01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m134_wallpaper03].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m135_wood01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m136_wood02].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m137_wood05].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m138_wood06].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m139_wood09].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m140_wood30].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m142_wood36].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m143_wood38].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m144_wood42].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m146_wood45].jpg,4,1,1,1,1,1,3,2
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m147_wood58].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m148_wood59].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m149_wood60].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA-m150_wood63].jpg,4,1,1,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m001_3M_Scotchlite].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m002_car_paint01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m003_carpet01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m004_carpet02].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m009_corduroy01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m010_fabric002].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m011_fabric005].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m012_fabric006].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m013_fabric008].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m018_fabric013].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m019_fabric014].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m026_fabric021].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m031_fabric026].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m032_fabric027].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m035_fabric041].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m039_fabric045].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m050_fabric073].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m052_fabric075].jpg,4,1,1,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m054_fabric077].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m057_fabric082].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m059_fabric086].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m060_fabric093].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m061_fabric094].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m062_fabric096].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m064_fabric099].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m066_fabric101].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m068_fabric103].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m071_fabric106].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m072_fabric107].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m073_fabric108].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m074_fabric111].jpg,4,1,1,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m075_fabric112].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m077_fabric114].jpg,4,1,1,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m082_fabric119].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m095_fabric134].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m096_fabric135].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m097_fabric136].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m098_fabric137].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m099_fabric139].jpg,4,1,1,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m101_fabric143].jpg,4,1,1.5,2,1.5,1.5,1.5,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m104_fabric146].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m105_glitter01].jpg,4,1,1,1,1,2,3,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m107_leather02].jpg,4,1,1,1,1,2,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m114_leather09].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m118_leather13].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m121_leather16].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m129_plastic05].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m133_wallpaper01].jpg,4,1,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m134_wallpaper03].jpg,4,1,2,2,2,1,2,1
[2_1_small_cathedral_2k_shift_-600][sphere][UTIA_ISO-isotropic_m147_wood58].jpg,4,1,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-alum-bronze].jpg,4,9,4,3,2,3,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-alumina-oxide].jpg,4,9,2,1,1,1,4,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-aluminium].jpg,4,9,3,3,3,4,6,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-aventurnine].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-beige-fabric].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-black-fabric].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-black-obsidian].jpg,4,9,5,2,3,2,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-black-oxidized-steel].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-black-phenolic].jpg,4,9,4,2,2,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-black-soft-plastic].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-blue-acrylic].jpg,4,9,4,1,1,2,3,7
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-blue-fabric].jpg,4,9,1,1,1,1,1,6
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-blue-metallic-paint2].jpg,4,9,6,4,4,3,6,6
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-blue-metallic-paint].jpg,4,9,4,3,3,5,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-blue-rubber].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-brass].jpg,4,9,7,5,7,7,5,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-cherry-235].jpg,4,9,2,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-chrome-steel].jpg,4,9,7,6,7,7,5,4
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-chrome].jpg,4,9,7,4,4,4,4,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-colonial-maple-223].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-color-changing-paint1].jpg,4,9,5,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-color-changing-paint2].jpg,4,9,5,1,1,2,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-color-changing-paint3].jpg,4,9,2.5,1,1.5,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-dark-blue-paint].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-dark-red-paint].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-dark-specular-fabric].jpg,4,9,1,2,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-delrin].jpg,4,9,2,1,2,2,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-fruitwood-241].jpg,4,9,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-gold-metallic-paint2].jpg,4,9,5,5,3,6,6,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-gold-metallic-paint3].jpg,4,9,7,6,6,7,6,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-gold-metallic-paint].jpg,4,9,2,2,1,3,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-gold-paint].jpg,4,9,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-gray-plastic].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-grease-covered-steel].jpg,4,9,6,4.5,4,5.5,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-green-acrylic].jpg,4,9,2,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-green-fabric].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-green-latex].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-green-metallic-paint2].jpg,4,9,7,1,1,3,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-green-metallic-paint].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-green-plastic].jpg,4,9,2,1,1,2,2,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-hematite].jpg,4,9,7,5,5,6,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-ipswich-pine-221].jpg,4,9,1,1,1,2,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-light-brown-fabric].jpg,4,9,1,1,1,1,1,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-light-red-paint].jpg,4,9,1.5,1,1,1,3,1.5
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-maroon-plastic].jpg,4,9,2,1,1,1,4,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-natural-209].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-neoprene-rubber].jpg,4,9,1,1,1,1,4,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-nickel].jpg,4,9,6,5,5,6,5,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-nylon].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-orange-paint].jpg,4,9,1,1,1,1,5,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pearl-paint].jpg,4,9,4,1,3,4,5,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pickled-oak-260].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pink-fabric2].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pink-fabric].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pink-felt].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pink-jasper].jpg,4,9,3,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pink-plastic].jpg,4,9,1,1,1,2,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-polyethylene].jpg,4,9,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-polyurethane-foam].jpg,4,9,1,1,1,1,1,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pure-rubber].jpg,4,9,1,1,1,1,5,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-purple-paint].jpg,4,9,3,1,1,1,2,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-pvc].jpg,4,9,3,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-red-fabric2].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-red-fabric].jpg,4,9,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-red-metallic-paint].jpg,4,9,6,5,5,7,7,5
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-red-phenolic].jpg,4,9,2,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-red-plastic].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-red-specular-plastic].jpg,4,9,3,4,2,1,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-silicon-nitrade].jpg,4,9,7,4,4,3,3,4
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-silver-metallic-paint2].jpg,4,9,4,1,1,4,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-silver-metallic-paint].jpg,4,9,1,5,2,3,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-silver-paint].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-special-walnut-224].jpg,4,9,2,1,1,1,1,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-black-phenolic].jpg,4,9,3,2,2,2,2,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-blue-phenolic].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-green-phenolic].jpg,4,9,4,3,2,2,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-maroon-phenolic].jpg,4,9,4,3,4,3,2,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-orange-phenolic].jpg,4,9,3,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-red-phenolic].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-violet-phenolic].jpg,4,9,4,2,2,3,5,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-white-phenolic].jpg,4,9,1,3,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-specular-yellow-phenolic].jpg,4,9,2,1,1,1,4,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-ss440].jpg,4,9,5,5,4,5,3,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-steel].jpg,4,9,7,6,6,7,7,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-teflon].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-tungsten-carbide].jpg,4,9,7,7,4,7,4,7
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-two-layer-gold].jpg,4,9,4,1,2,5,3,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-two-layer-silver].jpg,4,9,3,2,2,3,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-violet-acrylic].jpg,4,9,3,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-violet-rubber].jpg,4,9,1,1,1,1,3,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-white-acrylic].jpg,4,9,1,1,3,2,5,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-white-diffuse-bball].jpg,4,9,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-white-fabric2].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-white-fabric].jpg,4,9,1,1,1,1,2,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-white-marble].jpg,4,9,2,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-white-paint].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-yellow-matte-plastic].jpg,4,9,1,1,1,1,1,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-yellow-paint].jpg,4,9,1,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-yellow-phenolic].jpg,4,9,2,1,1,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL-yellow-plastic].jpg,4,9,1,1,1,1,5,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_0_spec_0].jpg,4,9,7,6,7,6,7,6
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_0_spec_2].jpg,4,9,7,2,2,2,3,2
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_1_spec_0].jpg,4,9,3,3,3,2,4,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_1_spec_1].jpg,4,9,5,3,3,4,5,6
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_1_sat_0_spec_1].jpg,4,9,6,2,3,1,2,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_1_sat_0_spec_2].jpg,4,9,4,5,5,3,4,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_1_sat_1_spec_0].jpg,4,9,7,4,1,3,7,7
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_0_spec_0].jpg,4,9,7,5,4,3,2,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_0_spec_1].jpg,4,9,6,4,3,6,7,7
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_0_spec_2].jpg,4,9,7,3,3,4,5,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_1_spec_0].jpg,4,9,5,4,3,3,4,3
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_1_spec_1].jpg,4,9,6,2,2,2,3,1
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_1_spec_2].jpg,4,9,7,5,5,7,7,7
[2_1_small_cathedral_2k_shift_-600][statuette_vt][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_0_spec_0].jpg,4,9,1,1,1,1,1,1
